word,frequency_classification,definition,word_types,word_endings,sentences
akadémia,4,"Tekintélyes tudósokból választott, a tudományos kutatást irányító országos testület.",fn,"*k,*t,*ja","Az Akadémia levelező tagja lett.,Ülésezik az Akadémia.,Ennek épülete.,A közgyűlés az Akadémián lesz.,Szabadon látogatható előadássorozat, tanfolyam.,Művészeti akadémiára jár.,(Fv) Közművelődési tanfolyamokat szervező intézmény.,A Művelődési Akadémia a felnőttek művelődésével foglalkozó legnagyobb intézmény Szlovákiában.,Főiskolai jellegű szakiskola.,Katonai akadémiát végzett.,(Va, Ka, Dv) Egyetemi szintű oktatási intézmény.,A főiskolát a minisztérium akadémiává minősítette.,(Fv, Va, Őv) (A szakközépiskolák egyik típusaként:) (Fv, Őv) Kereskedelmi akadémia : közgazdasági szakközépiskola.,A fia tizenhat éves, kereskedelmi akadémiára jár."
akadémikus,3,A tudományos akadémia tagja.,fn,"~t,~a","Akadémikussá választották.,A konferenciát egy idős akadémikus nyitotta meg."
akadémikus,3,"Elméleti, elvont, a gyakorlat szempontjából kevéssé hasznos.",mn,"~at,~an","Ez akadémikus vita, nincs értelme."
akar,5,"Szándékozik megtenni valamit, tudatosan törekszik rá.",ige,,"Meg akar tanulni angolul.,Csak akarnod kell, és sikerülni fog.,Szeretne valamit (tenni, kapni).,Mit akarsz voltaképpen?,Ahogy akarod.,Szívességért szívességet akar cserébe.,(Tagadásban:) a) Nem, vagy nehezen hajlandó valamit tenni.,Nem akarom elhinni ezt a butaságot.,Ma nem akar kisütni a nap.,b) Alkalmatlannak mutatkozik valamire.,Nem akar írni ez a toll.,Már-már megtörténik valami.,Le akar szakadni a gombom.,Nagyon szédül, folyton el akar esni."
akár,5,Inkább.,hsz,,"Ha úgysem hallgattok végig, akár ne is szólaljak meg.,Akár el se indulj, úgysem érsz oda idejében!,Ha úgy tetszik.,Felőled akár éhen is halhatunk.,Ha kell, ha szükséges.,Akár írásba is adhatom.,Esetleg; lehetséges, hogy még… Az eredeti árának akár a kétszeresét is megéri.,Legalább.,Olvastál tőle akár egyetlen sort is?,Bár pihenhetnék, akár csak egy napot is!"
akár,5,Mint.,ksz,,"Hazudik, akár a vízfolyás.,Egyik nap olyan, akár a másik : nincs különbség köztük.,Akár…, akár nem : (annak jelölésére, hogy a közölt tény mindkét esetben igaz:) ha …, ha … Akár hiszed, akár nem, ezt mondta szó szerint.,Ő is el fog jönni, akár akarod, akár nem."
akarat,5,Tudatos törekvés valaminek a megtételére.,fn,"~ot,~a","Akarattal tette.,Akarata ellenére történt.,Közös akarattal elhatározták.,Az, amit valaki akar, óhajt.,A többség akarata érvényesült a törvény megszavazásakor., Végső akarat : végrendelet.,Az ügyvéd közölte a rokonokkal az elhunyt végső akaratát.,| A sors vagy Isten akarata : a gondviselés érvényesülése.,A sors akarata, hogy színész legyen belőle.,Gyógyulása Isten akarata volt."
akaratlan,3,Akarattól független; önkéntelen.,mn,"~t,~ul","Egy akaratlan mozdulattal elárulta magát.,Nem szándékos.,Akaratlanul tettem, bocsáss meg!"
akaratlan,3,"Akaratlanul, nem akarva.",hsz,,Akaratlan megbántottad.
akaratos,3,"Olyan (személy), aki mereven ragaszkodik szándékához.",mn,"~at,~an","Akaratos gyerek, folyton követelőzik.,A szándékához mereven ragaszkodó emberre jellemző.,Akaratos álla van."
akárcsak,5,"(Éppen úgy, egészen úgy,) mint… Roskatag a kunyhó, akárcsak a gazdája.",ksz,,"Zuhog, akárcsak tegnap."
akárhogy,4,Bármilyen módon.,hsz,,"Akárhogy dicséred, nekem nem tetszik.,(rosszalló) Nem megfelelően, illetlenül.,Akárhogy nem beszélhetsz előtte."
akárhol,3,Akármely helyen.,hsz,,"Akárhol találkozhatunk.,(rosszalló) Nem megfelelő, alkalmatlan helyen.,Akárhol nem vacsorázom."
akárki,5,Akármely személy.,nm,,"Akárki benyithat.,Akár mindenki.,„E fiúból pap lesz, akárki meglássa!” (Arany J.: Családi kör) (rosszalló) Jelentéktelen, méltatlan ember.,Akárkihez nem mehet feleségül."
akármelyik,4,"Kettő vagy több közül akár az egyik, akár a másik; mindegy, hogy melyik.",nm,,"Nekem akármelyik ceruza jó lesz, a színes is, a fekete is.,(kissé rosszalló) A kevésbé értékesek közül akár az egyik, akár a másik.,Akármelyik jelentkező azért mégsem felel meg.,(Birtokos személyjellel:) A szóban forgó személyek közül akárki, akár mindenki.,Ezt akármelyikünk szívesen megteszi."
akármi,5,Akármely dolog.,nm,,"Akármi megzavarhatja a felelésben.,(rosszalló) Bármilyen jelentéktelen dolog.,Ő akármit elfogad zálognak, akármilyen csekélységet., (bizalmas) (Fogadkozásként:) Akármi legyek : bármi történjék is velem.,Akármi legyek, ha tegnap nem egy hatlábú kutyát láttam.,(rosszalló) Nem megfelelő, méltatlan dolog.,Akármit nem írok alá."
akármikor,3,Akármely időben.,hsz,,"Akármikor becsengethetsz hozzánk.,(rosszalló) Valamely alkalmatlan, nem megfelelő időpontban.,Hogy képzeled, akármikor beronthatsz oda?"
akármilyen,4,Bármilyen.,nm,,"Barackot vegyél, akármilyen jó lesz.,Nem a legjobb.,Akármilyen emberrel nem áll szóba."
akaszt,5,"(Tárgyat) úgy helyez valahová, hogy lefelé lógjon.",ige,,"A kabátját a fogasra akasztotta .,Naptárt akaszt az íróasztala fölé.,Kötél által kivégez valakit.,Magyarországon eltörölték a halálbüntetést, így már senkit sem akasztanak."
akasztó,3,Ruha gyűrődésmentes felakasztására szolgáló eszköz.,fn,"~t,~ja","Tedd a zakódat erre az akasztóra, itt majd kisimul.,Hurok, fül, amelynél fogva a ruhát fel lehet akasztani.,Leszakadt a kabátod akasztója."
akasztófa,4,Gerendákból ácsolt kivégzőeszköz.,fn,,"A várbörtön udvarán régen egy akasztófa állt., Akasztófára jut : felakasztják.,Akasztófára jutott a banditavezér és három bűntársa.,| Akasztófán végzi : előbb-utóbb rossz véget ér.,Meglásd, akasztófán végzed, te átokfajzat!,| Az akasztófa árnyékában él : halálbüntetés fenyegeti."
akasztófahumor,1,"Keserű humor, tréfálkozás.",fn,,"Némi akasztófahumorral azt mondta, nem bánja, hogy ellopták a kocsiját, úgyis drága a benzin."
akció,5,"Céltudatos tevékenység, tevékenységsor.",fn,"~t,~ja","Akcióba lépett, és elintézte az ügyet., Egyéni akció : saját felelősségre végrehajtott vállalkozás.,Egyéni akcióban merényletet tervezett egy politikus ellen.,Szervezett vállalkozás, mozgalom.,Jótékonysági akciót szerveztek.,Manapság gyakori a rendőri akció a szervezett bűnözés ellen.,(Er, Fv, Va, Dv) Szervezett családi, kisközösségi esemény: rendezvény vagy munka.,A bátyám is részt vett a házépítési akcióban.,Fogyasztási cikkek, áruk árának (nagymértékű) csökkentése, illetve az így rendezett kiárusítás.,Akció van a műszakicikk-osztályon, hosszú sor áll a kasszánál.,Fizikai, biológiai hatás.,Az akció és reakció elve érvényesült a kísérletben.,(Sportban, harcászatban:) Támadás.,Az akció végén sikerült gólt lőni."
akciófilm,3,"Mozgalmas, látványos, gyakran erőszakos események sorozatára épülő izgalmas film.",fn,,"Nem szeretem a fegyveres összecsapásokat, verekedéseket az akciófilmekben, de az autós üldözéseket néha megnézem."
aki,5,(Kötőszóként:) A vele bevezetett mellékmondatban meghatározott személy.,nm,,"Ő az, aki keresett.,A fiú, akivel láttál, a barátom."
akképpen,2,"(választékos) Úgy, olyan módon.",hsz,,Én is akképpen vélekedem.
akkor,3,Az említett időben.,hsz,,"Amikor ezt tanultuk, akkor éppen hiányzott.,Abban az esetben.,Ha telefonálsz, akkor megmondom.,(bizalmas) Ennek következményeként.,Jelest kaptál, ugye, akkor most örülsz?"
akkora,5,"A szóban forgóhoz hasonló, illetve azzal egyező nagyságú.",nm,,"Én is akkora darabot kérek, mint ő. Olyan nagy, hatalmas.,Akkorát estem, hogy még mindig fáj a lábam."
akkumulátor,3,Vegyi energiát villamos energiává átalakító áramforrás.,fn,"~t,~a,vagy,~ja","A gépkocsi akkumulátorral működik.,Kimerült az akkumulátor, fel kell tölteni."
akna,3,Földbe vájt szabályos üreg.,fn,"*k,*t,*ja","A vízgyűjtő akna a ház mellett van.,Felvonó számára kiképzett üreg.,A lift aknájának a szellőzését is meg kell oldani.,Bányába levezető, földbe vágott járat.,A régi akna beomlott."
akna,4,Ütődésre robbanó lövedék.,fn,"*k,*t,*ja","A házukat eltalálta egy akna.,Előzetesen elhelyezett robbanószerkezet.,A harckocsi aknára futott, és felrobbant."
aknamező,2,Aknákkal betelepített terület.,fn,,"A frontszakasz déli része aknamező, veszélyes rálépni."
akó,1,"Régi űrmérték, kb.",fn,"~t,~ja","fél hektoliter.,(Jelzőként:) Két akó bor van még a tavalyiból."
akol,2,"Állatok, elsősorban juhok számára körülkerített hely.",fn,"vagy,vagy,~ja",A puli beterelte a birkákat az akolba.
ákombákom,2,"Nehezen olvasható írás, betű.",fn,"~ot,~a,vagy,~ja","Az öregember nagy ákombákomokkal írt levelet a fiának.,(Jelzőként:) Ákombákom betűk vannak a füzetben."
akrobata,2,A közönséget erő- és tornagyakorlatokkal szórakoztató cirkuszi művész.,fn,"*k,*t,*ja",A vándorcirkusz műsorában elsőként az akrobaták léptek fel.
akt,3,"Meztelen emberi testet művészi módon ábrázoló rajz, festmény, szobor, fénykép.",fn,"~ot,~ja","A képzőművészet minden korszakában rajzoltak, festettek, formáztak aktot."
akta,4,Hivatalos irat.,fn,"*k,*t,*ja",Az ügyintéző asztalán feldolgozásra váró akták kötegei sorakoztak.
aktív,5,"Olyan (személy), aki cselekszik.",mn,"~at,~an","Aktív szereplője az eseményeknek.,Még mindig aktív sportoló, indul a versenyeken.,Erőteljes.,Barátai aktív támogatásával jutott el a világ másik végére.,Tényleges állományban lévő, nem nyugdíjas (dolgozó).,Szülei még aktív dolgozók.,Használatban levő., Aktív szókészlet vagy szókincs : az a szókincs, amit nemcsak megért, hanem használ is az ember.,Sokat megértek németül, de az aktív szókincsem még mindig elég kicsi., Aktív szén : jól vegyülő, erős megkötő tulajdonságú szén.,Bélfertőzés ellen jó orvosság az aktív szén.,A kiadásnál több bevételt felmutató.,A külkereskedelem aktív mérleget mutat."
aktus,4,"Cselekedet, művelet.",fn,"~t,~a","A hivatalos aktust mulatság követte., Nemi aktus : közösülés.,Létezik olyan fogamzásgátló gyógyszer is, amelyet a nemi aktus után lehet alkalmazni."
akupunktúra,3,Távol-keleti eredetű tűszúrásos gyógymód.,fn,"*t,*ja",Akupunktúrával kezelik a fejfájása ellen.
akvarell,2,Vízfestékkel készült kép.,fn,"~t,~je",Szeretne egy szép akvarellt a szobája falára.
akvárium,3,"Halak, vízinövények mesterséges tartására való üvegfalú medence.",fn,"~ot,~a","Az akváriumot rendszeresen tisztítani kell.,Víziállatokat és -növényeket bemutató intézmény.,Az állatkerti akváriumban ritka tengeri élőlényeket láttunk."
alá,5,Valami alatt levő helyre.,nu,,"Az eső elől egy fa alá menekültek.,Település déli széléhez.,A főváros alá húzódtak a csapatok.,A megjelölt címre, helyre.,A Rákóczi út alá küldte a levelet.,A megadott szintnél alacsonyabbra.,0 fok alá süllyedt a hőmérséklet.,Valamilyen alárendelt helyzetbe.,Közvetlenül a minisztérium irányítása alá került az intézet.,Felügyelet alá helyezték a fiatalembert."
alá,2,"(régi, népi) Lefelé.",hsz,,"Hegynek alá mentünk., Fel s alá : fel-alá; fel, le.,Fel s alá sétált egész nap.,Lent.,Arra alá legelt a nyáj."
alá,3,Valami alatt levő helyre.,ik,,"Alábukik, aláfekszik, alámerül.,Ezen a helyen merültek alá a búvárok.,Alul vagy alulról végezve.,Alágyújt, alákanyarít, alátámaszt.,Alá kell támasztani a rogyadozó házat.,Lefelé irányulva.,Aláhull, alászáll, alátekint.,Tekints alá a városra, láthatod az éjszakai fényeket!,A ténylegesnél kevesebbre, kisebb értékűre.,Alábecsül, aláértékel.,Ne becsüld alá a képességeidet!"
alabárd,1,(régi) Hosszú nyelű vágó- és szúrófegyver.,fn,"~ot,~ja",Az őrök alabárdot tartottak a kezükben.
alabástrom,2,Márványszerű kristályos gipsz.,fn,"~ot,~a","Ez az egyiptomi szkarabeusz valódi alabástromból készült.,(Jelzőként:) Egy alabástrom aktszobor tűnik ki fehérségével a kiállított tárgyak közül.,(választékos) (Jelzőként:) Sima, fehér.,Alabástrom nyakú szép nő ült vele szemben."
alacsony,5,"Kis növésű, függőleges irányban kis méretű.",mn,"~at,~an","Alacsony ember, nem éri fel a szekrény tetejét.,A nappaliban alacsony dohányzóasztal áll.,A kívánatos mértéket el nem érő.,Alacsony a vérnyomása.,Alacsony fizetése van.,Finomabb erkölcsi érzék nélküli személyre jellemző.,Alacsony indulatokat táplál ellenfelével szemben."
aláfestés,2,"(Olaj)festmény alapozási eljárása, illetve a festés legalsó rétege.",fn,"~t,~e","Az aláfestéssel már készen van.,Valaminek zenével, illetve érzelmi, hangulati elemekkel való kísérése, színezése.,A film romantikus hangulatát jól szolgálta a zenei aláfestés."
alagsor,3,A földszint alatti szint.,fn,,Az alagsorban van a mosókonyha.
alagút,4,"Vasút, vízfolyás föld alatti átvezetésére való építmény.",fn,,"A vonat áthalad a sötét alagúton.,Föld alatti folyosó.,Rábukkantak a vár alatt húzódó titkos alagútra."
aláhúz,4,"Szó, szövegrész alá kiemelésül vonalat húz.",ige,,"A megtanulandó szövegben aláhúzta a lényeget.,Hangsúlyozottan, kiemelten mond valamit.,Beszédében aláhúzta az egységes felfogás fontosságát.,(választékos) Lefelé húz valakit, valamit.,Az örvény aláhúzta a fuldoklót."
aláír,5,"Valamely szöveg végére, az utolsó sor alá odaírja a nevét.",ige,~ni,"A levelet nemcsak géppel, hanem kézzel is illik aláírni.,A jobb sarokba írd alá a neved!,Ilyen módon hitelesít valamit, elismeri valaminek az érvényességét, illetve felelősséget vállal valamiért.,A környezetvédelmi egyezményeket minden államnak alá kellene írnia.,Csak akkor fizetik ki az útiköltséget, ha az igazgató aláírja a kérvényedet.,Ha ennyit hiányzol a főiskolai előadásokról, a tanár nem fogja aláírni a leckekönyvedet, és nem lesz érvényes a féléved!,(bizalmas) Hivatalos iratok aláírásával van elfoglalva.,Egész nap csak aláír.,Hiába adtam be ma a papírjaimat, a gazdasági osztályon csak kedden és csütörtökön írnak alá.,Neve és adatai feltüntetésével igazolja, hogy egyetért valamely szöveg tartalmával.,Sokan aláírták a tiltakozást a készülő törvény ellen.,Vannak, akik elvből vagy lustaságból soha nem írnak alá semmit.,(bizalmas) Helyesnek tart valamit, egyetért valamivel.,Hiába állítod, hogy jó lesz így, ezt én nem írom alá!,A vitában rendszerint Péternek adok igazat, amit ő mond, én is aláírom."
alak,5,Térbeli megjelenési forma.,fn,"~ot,~ja","Az épület alakja kissé szokatlan.,Emberi testalkat, termet.,Szép az arca, de az alakja rossz, mert elhízott.,(bizalmas) Személy, különösen férfi.,Két ismeretlen alak szólította meg.,Ki ez az alak?,Irodalmi műben, művészeti alkotásban ábrázolt személy.,A dráma alakjai élethűek."
alakít,5,"Más alakúvá, formájúvá tesz valamit.",ige,,"A síkidomot ötszöggé alakítja.,Divatossá alakította a ruhát.,A vízi erőmű a mozgási energiát elektromos árammá alakítja.,(választékos) Valakinek, valaminek fejlődését segíti.,Jellemét alakítja, ha több dolgot kipróbál.,Színészileg megjelenít valakit, valamit.,Hamletet alakította a színházban.,Szervezéssel létrehoz valamit.,Bizottságot alakítottunk érdekeink védelmére."
alakul,5,"Alakot ölt, (szervezett) formát nyer.",ige,,"Már alakul az elképzelése a jövőről.,Új irodalmi társaság alakult.,Valamivé alakul : más alakot ölt.,A beszélgetés egy idő után értekezletté alakult.,Bizonyos irányba változik, módosul.,A körülmények úgy alakultak, ahogy terveztük."
alakulat,4,Katonai egység.,fn,"~ot,~a",Minden alakulatot mozgósítottak.
alakzat,4,"(választékos) Valaminek (látható) egységes képe, alakja.",fn,"~ot,~a","Az őskori koponyák alakzata eltér a maiakétól.,(A geometriában:) A vonal, a síkidom és a test valamelyike.,Milyen mértani alakzat keletkezett a transzformáció során?,(A retorikában:) A szokásostól eltérő kifejezésmód, (költői) stíluseszköz.,A leggyakoribb stilisztikai alakzatok : a szóismétlés, a halmozás, a kérdés és a felkiáltás.,Felvonulási rend.,A harci egységek zárt alakzatban vonultak."
alamizsna,3,"(gyakran rosszalló) Csekély, általában pénzbeli adomány.",fn,"*t,*ja","Alamizsnát ad a koldusnak.,Megalázóan csekély anyagi juttatás.,Valódi segítség helyett alamizsnát kapott.,Inkább ingyen dolgozik, mint alamizsnáért."
alamuszi,2,Leplezetten rosszindulatú.,mn,"vagy,~ak,~t,~n,vagy,~an",Alamuszi képpel hallgatott.
alantas,3,Nemesebb érzések iránt érzéketlen.,mn,"~at,~an","Az állatokat kedvtelésből kínozni alantas szórakozás.,Alacsonyabb társadalmi értékű.,Sok országban a bevándorlókkal végeztetik el az alantas munkát, például az utcasöprést."
alany,4,"(Nyelvtani fogalomként:) A mondatnak az a része, amely megjelöli azt, akiről, amiről az állítmánnyal mondunk valamit.",fn,"~t,~a","Húzd alá egy vonallal a mondat alanyát!,Ennek a mondatnak az alanya a kutya, állítmánya pedig az ugat.,(Filozófiai fogalomként:) Tudatos lény.,Az alany a megismerő, gondolkodó, tudattal, akarattal bíró lény, az „én”.,(A tudományos nyelvhasználatban:)  Kísérleti alany : kísérletnek, új eljárásnak alávetett élőlény.,Kísérleti alanyokat keresnek egy pszichológiai kutatáshoz.,(bizalmas) Olyan személy, aki eltűr, elvisel valamit.,A gyerekek általában jó alanyok, könnyű bánni velük riportkészítéskor is.,Még oltatlan facsemete.,Termő hajtást olt az alanyra."
